Date,Property,LOB,Total_Revenue,RevPOR,RevPAR
2022-01-01,Atlanta,Attractions,22133.309999999998,73.04722772277226,48.431750547045944
2022-01-01,Atlanta,Food and Beverage,52098.64,29.65204325554923,114.00140043763676
2022-01-01,Atlanta,Retail,10898.61,35.73314754098361,23.84816192560175
2022-01-01,Colorado,Attractions,15119.97,78.34181347150259,48.61726688102894
2022-01-01,Colorado,Food and Beverage,31621.13,31.68449899799599,101.67565916398713
2022-01-01,Colorado,Retail,8554.04,30.226289752650178,27.50495176848875
2022-01-01,Concord,Attractions,23345.54,93.38216,58.07348258706468
2022-01-01,Concord,Food and Beverage,33708.63,26.859466135458167,83.85231343283581
2022-01-01,Concord,Retail,11731.13,32.677242339832866,29.18191542288557
2022-01-01,Grand Mound,Attractions,33862.77,158.23724299065418,85.08233668341708
2022-01-01,Grand Mound,Food and Beverage,49931.76,31.66249841471148,125.45668341708543
2022-01-01,Grand Mound,Retail,10782.57,28.753519999999998,27.091884422110553
2022-01-01,Grapevine,Attractions,32204.02,134.18341666666666,53.22978512396694
2022-01-01,Grapevine,Food and Beverage,58363.46,25.0702147766323,96.46852892561984
2022-01-01,Grapevine,Retail,19844.27,39.06352362204724,32.800446280991736
2022-01-01,Gurnee,Attractions,27636.36,134.15708737864077,66.7544927536232
2022-01-01,Gurnee,Food and Beverage,27881.88,27.605821782178218,67.34753623188406
2022-01-01,Gurnee,Retail,7470.84,30.246315789473684,18.04550724637681
2022-01-01,Kansas City,Attractions,3360.67,42.008375,13.335992063492064
2022-01-01,Kansas City,Food and Beverage,16568.85,32.7447628458498,65.74940476190476
2022-01-01,Kansas City,Retail,7648.75,40.9024064171123,30.35218253968254
2022-01-01,Manteca,Attractions,11322.4,31.105494505494505,26.640941176470587
2022-01-01,Manteca,Food and Beverage,46236.56,26.866101104009296,108.79190588235294
2022-01-01,Manteca,Retail,14588.48,38.69623342175066,34.325835294117645
2022-01-01,Mason,Attractions,25347.010000000002,173.6096575342466,63.209501246882795
2022-01-01,Mason,Food and Beverage,38497.41,26.08225609756098,96.00351620947632
2022-01-01,Mason,Retail,14669.01,38.501338582677164,36.58107231920199
2022-01-01,Minnesota,Attractions,17932.7,97.46032608695653,44.38787128712872
2022-01-01,Minnesota,Food and Beverage,36814.85,26.931126554498903,91.12586633663366
2022-01-01,Minnesota,Retail,9973.16,38.21134099616858,24.686039603960396
2022-01-01,New England,Attractions,214268.95,559.448955613577,527.7560344827587
2022-01-01,New England,Food and Beverage,56694.79,34.15348795180723,139.64233990147784
2022-01-01,New England,Retail,13056.32,37.30377142857143,32.1584236453202
2022-01-01,Poconos,Attractions,34468.409999999996,114.51299003322258,85.95613466334164
2022-01-01,Poconos,Food and Beverage,38549.71,26.38583846680356,96.13394014962593
2022-01-01,Poconos,Retail,16711.87,39.50796690307328,41.67548628428928
2022-01-01,Sandusky,Attractions,18110.75,166.15366972477065,66.82933579335793
2022-01-01,Sandusky,Food and Beverage,17755.0,26.460506706408346,65.51660516605166
2022-01-01,Sandusky,Retail,11578.06,44.531,42.72346863468635
2022-01-01,Scottsdale,Attractions,14758.36,46.85193650793651,42.16674285714286
2022-01-01,Scottsdale,Food and Beverage,39044.87,29.357045112781957,111.55677142857144
2022-01-01,Scottsdale,Retail,10383.82,42.556639344262294,29.66805714285714
2022-01-01,Southern California,Attractions,21629.25,136.89398734177215,42.24462890625
2022-01-01,Southern California,Food and Beverage,49595.48,32.10063430420712,96.866171875
2022-01-01,Southern California,Retail,13590.08,28.792542372881357,26.543125
2022-01-01,Traverse City,Attractions,18969.72,139.48323529411766,84.68625
2022-01-01,Traverse City,Food and Beverage,20545.26,24.285177304964538,91.7199107142857
2022-01-01,Traverse City,Retail,7238.48,34.63387559808612,32.31464285714286
2022-01-01,Williamsburg,Attractions,17412.5,73.4704641350211,42.99382716049383
2022-01-01,Williamsburg,Food and Beverage,30638.34,23.769076803723816,75.65022222222223
2022-01-01,Williamsburg,Retail,11457.52,37.565639344262294,28.290172839506173
2022-01-01,Wisconsin Dells,Attractions,13079.33,152.08523255813952,42.60368078175896
2022-01-01,Wisconsin Dells,Food and Beverage,19647.35,24.406645962732917,63.99788273615635
2022-01-01,Wisconsin Dells,Retail,5633.54,32.75313953488372,18.35029315960912
2022-01-02,Atlanta,Attractions,14547.5,56.60505836575876,45.60344827586207
2022-01-02,Atlanta,Food and Beverage,38782.36,29.31395313681028,121.57479623824452
2022-01-02,Atlanta,Retail,9844.52,38.757952755905514,30.860564263322885
2022-01-02,Colorado,Attractions,13675.539999999999,76.82887640449438,63.02092165898617
2022-01-02,Colorado,Food and Beverage,23115.54,27.91731884057971,106.52322580645162
2022-01-02,Colorado,Retail,7818.51,31.025833333333335,36.03
2022-01-02,Concord,Attractions,6217.71,30.629113300492612,19.36981308411215
2022-01-02,Concord,Food and Beverage,25639.88,24.82079380445305,79.87501557632399
2022-01-02,Concord,Retail,9034.28,36.57603238866397,28.14417445482866
2022-01-02,Grand Mound,Attractions,28610.66,112.19866666666667,89.97062893081761
2022-01-02,Grand Mound,Food and Beverage,38242.24,28.243899556868538,120.25861635220126
2022-01-02,Grand Mound,Retail,10864.46,33.022674772036474,34.16496855345912
2022-01-02,Grapevine,Attractions,38711.6,157.3642276422764,71.1610294117647
2022-01-02,Grapevine,Food and Beverage,50965.27,30.26441211401425,93.68615808823529
2022-01-02,Grapevine,Retail,14376.3,37.148062015503875,26.42702205882353
2022-01-02,Gurnee,Attractions,15800.960000000001,112.06354609929079,47.73703927492448
2022-01-02,Gurnee,Food and Beverage,21135.59,24.69110981308411,63.853746223564954
2022-01-02,Gurnee,Retail,5351.36,31.85333333333333,16.167250755287007
2022-01-02,Kansas City,Attractions,16490.72,279.50372881355935,147.23857142857145
2022-01-02,Kansas City,Food and Beverage,12899.02,28.102440087145972,115.16982142857144
2022-01-02,Kansas City,Retail,3907.96,28.735,34.8925
2022-01-02,Manteca,Attractions,9601.53,30.774134615384618,25.604080000000003
2022-01-02,Manteca,Food and Beverage,37823.54,24.418037443511945,100.86277333333334
2022-01-02,Manteca,Retail,12046.75,34.91811594202898,32.12466666666667
2022-01-02,Mason,Attractions,12669.68,108.28786324786326,37.26376470588235
2022-01-02,Mason,Food and Beverage,28586.84,24.103575042158518,84.0789411764706
2022-01-02,Mason,Retail,7373.92,28.36123076923077,21.688
2022-01-02,Minnesota,Attractions,14795.140000000001,96.07233766233767,36.62163366336634
2022-01-02,Minnesota,Food and Beverage,27710.37,24.457519858781993,68.59002475247524
2022-01-02,Minnesota,Retail,6342.93,31.874020100502513,15.700321782178218
2022-01-02,New England,Attractions,151678.52,479.9953164556962,468.14358024691353
2022-01-02,New England,Food and Beverage,41597.17,31.48915215745647,128.38632716049383
2022-01-02,New England,Retail,7428.08,29.12972549019608,22.926172839506172
2022-01-02,Poconos,Attractions,24521.83,82.0128093645485,61.15169576059851
2022-01-02,Poconos,Food and Beverage,31750.24,23.606126394052044,79.17765586034913
2022-01-02,Poconos,Retail,11495.5,37.69016393442623,28.66708229426434
2022-01-02,Sandusky,Attractions,13675.56,182.3408,63.312777777777775
2022-01-02,Sandusky,Food and Beverage,16546.01,25.69256211180124,76.60189814814814
2022-01-02,Sandusky,Retail,8011.46,37.78990566037736,37.09009259259259
2022-01-02,Scottsdale,Attractions,14061.54,62.77473214285715,50.21978571428572
2022-01-02,Scottsdale,Food and Beverage,32898.35,27.36967554076539,117.49410714285713
2022-01-02,Scottsdale,Retail,7787.69,37.440817307692306,27.81317857142857
2022-01-02,Southern California,Attractions,20538.62,106.97197916666666,42.611244813278006
2022-01-02,Southern California,Food and Beverage,42631.76,30.914981870920958,88.44763485477179
2022-01-02,Southern California,Retail,10969.27,27.151658415841585,22.757821576763487
2022-01-02,Traverse City,Attractions,8628.98,92.7847311827957,41.09038095238095
2022-01-02,Traverse City,Food and Beverage,14543.01,22.723453125,69.25242857142857
2022-01-02,Traverse City,Retail,7732.17,38.46850746268657,36.819857142857146
2022-01-02,Williamsburg,Attractions,14159.51,70.09658415841584,50.033604240282685
2022-01-02,Williamsburg,Food and Beverage,19335.2,21.224149286498353,68.32226148409895
2022-01-02,Williamsburg,Retail,10140.61,37.14509157509158,35.83254416961131
2022-01-02,Wisconsin Dells,Attractions,4930.6,145.01764705882354,32.226143790849676
2022-01-02,Wisconsin Dells,Food and Beverage,11364.72,25.596216216216213,74.27921568627451
2022-01-02,Wisconsin Dells,Retail,3446.8,36.66808510638298,22.5281045751634
2022-01-03,Atlanta,Attractions,13602.72,55.071740890688254,42.64175548589341
2022-01-03,Atlanta,Food and Beverage,32830.93,29.71124886877828,102.91827586206897
2022-01-03,Atlanta,Retail,8959.76,42.06460093896714,28.087021943573667
2022-01-03,Colorado,Attractions,14817.6,67.35272727272728,63.594849785407725
2022-01-03,Colorado,Food and Beverage,19377.94,26.221840324763193,83.16712446351931
2022-01-03,Colorado,Retail,6310.54,28.17205357142857,27.083862660944206
2022-01-03,Concord,Attractions,14366.69,61.925387931034486,39.79692520775623
2022-01-03,Concord,Food and Beverage,24803.98,26.136965226554267,68.70908587257618
2022-01-03,Concord,Retail,6690.67,30.412136363636364,18.53371191135734
2022-01-03,Grand Mound,Attractions,19714.6,92.99339622641509,49.53417085427135
2022-01-03,Grand Mound,Food and Beverage,31851.96,25.832895377128953,80.03005025125628
2022-01-03,Grand Mound,Retail,10535.18,30.804619883040935,26.470301507537688
2022-01-03,Grapevine,Attractions,27505.15,125.59429223744293,50.5609375
2022-01-03,Grapevine,Food and Beverage,44497.24,27.741421446384038,81.79639705882353
2022-01-03,Grapevine,Retail,11885.51,35.26857566765579,21.848363970588235
2022-01-03,Gurnee,Attractions,13424.189999999999,78.50403508771929,46.45048442906574
2022-01-03,Gurnee,Food and Beverage,18597.62,26.49233618233618,64.35162629757785
2022-01-03,Gurnee,Retail,4772.57,31.81713333333333,16.514083044982698
2022-01-03,Kansas City,Attractions,8066.09,144.03732142857143,72.01866071428572
2022-01-03,Kansas City,Food and Beverage,8532.71,23.96828651685393,76.1849107142857
2022-01-03,Kansas City,Retail,3774.75,31.45625,33.703125
2022-01-03,Manteca,Attractions,22988.57,67.41516129032259,54.09075294117647
2022-01-03,Manteca,Food and Beverage,37585.97,24.842015862524786,88.43757647058824
2022-01-03,Manteca,Retail,9062.26,29.139099678456592,21.322964705882352
2022-01-03,Mason,Attractions,4744.28,33.176783216783214,11.831122194513716
2022-01-03,Mason,Food and Beverage,24937.33,23.349559925093633,62.187855361596014
2022-01-03,Mason,Retail,8259.38,30.36536764705882,20.596957605985036
2022-01-03,Minnesota,Attractions,9823.77,86.17342105263158,24.316262376237624
2022-01-03,Minnesota,Food and Beverage,17154.98,25.528244047619047,42.46282178217822
2022-01-03,Minnesota,Retail,5055.98,31.018282208588953,12.514801980198019
2022-01-03,New England,Attractions,144725.83,556.6378076923077,446.6846604938271
2022-01-03,New England,Food and Beverage,32247.25,28.66422222222222,99.52854938271605
2022-01-03,New England,Retail,6189.9,30.64306930693069,19.104629629629628
2022-01-03,Poconos,Attractions,17074.66,76.91288288288288,42.58019950124688
2022-01-03,Poconos,Food and Beverage,28512.41,23.180821138211382,71.10326683291771
2022-01-03,Poconos,Retail,10408.67,35.89196551724138,25.956783042394015
2022-01-03,Sandusky,Attractions,11168.56,143.18666666666667,45.96115226337449
2022-01-03,Sandusky,Food and Beverage,13360.28,22.156351575456053,54.98057613168724
2022-01-03,Sandusky,Retail,6073.71,44.01239130434783,24.994691358024692
2022-01-03,Scottsdale,Attractions,11201.32,45.90704918032787,42.753129770992366
2022-01-03,Scottsdale,Food and Beverage,30957.94,27.06113636363636,118.16007633587786
2022-01-03,Scottsdale,Retail,6763.83,35.41272251308901,25.81614503816794
2022-01-03,Southern California,Attractions,18242.92,131.2440287769784,37.84838174273859
2022-01-03,Southern California,Food and Beverage,39598.17,28.632082429501082,82.15387966804978
2022-01-03,Southern California,Retail,11581.62,32.08204986149585,24.02825726141079
2022-01-03,Traverse City,Attractions,9626.56,105.78637362637362,49.115102040816325
2022-01-03,Traverse City,Food and Beverage,15024.76,24.43050406504065,76.6569387755102
2022-01-03,Traverse City,Retail,5508.37,38.52006993006993,28.103928571428572
2022-01-03,Williamsburg,Attractions,12803.96,82.07666666666667,35.175714285714285
2022-01-03,Williamsburg,Food and Beverage,18103.94,22.131955990220046,49.7360989010989
2022-01-03,Williamsburg,Retail,7262.79,31.715240174672488,19.95271978021978
2022-01-03,Wisconsin Dells,Attractions,6356.52,129.7248979591837,41.54588235294118
2022-01-03,Wisconsin Dells,Food and Beverage,11028.38,23.02375782881002,72.08091503267973
2022-01-03,Wisconsin Dells,Retail,2964.08,30.875833333333333,19.373071895424836
2022-01-04,Atlanta,Attractions,15661.37,66.64412765957447,49.095203761755485
2022-01-04,Atlanta,Food and Beverage,26985.35,25.7986137667304,84.5935736677116
2022-01-04,Atlanta,Retail,7684.89,35.743674418604655,24.090564263322886
2022-01-04,Colorado,Attractions,9651.2,70.44671532846716,41.421459227467814
2022-01-04,Colorado,Food and Beverage,18463.77,23.58080459770115,79.24364806866953
2022-01-04,Colorado,Retail,5744.69,27.88684466019417,24.655321888412015
2022-01-04,Concord,Attractions,15272.03,65.26508547008547,42.30479224376732
2022-01-04,Concord,Food and Beverage,19860.49,24.398636363636367,55.01520775623269
2022-01-04,Concord,Retail,5973.01,27.91126168224299,16.54573407202216
2022-01-04,Grand Mound,Attractions,15501.17,90.65011695906433,38.94766331658291
2022-01-04,Grand Mound,Food and Beverage,27734.82,25.656632747456058,69.68547738693468
2022-01-04,Grand Mound,Retail,7994.26,36.5034703196347,20.08608040201005
2022-01-04,Grapevine,Attractions,20302.37,95.3162910798122,37.320533088235294
2022-01-04,Grapevine,Food and Beverage,51597.75,33.05429212043562,94.84880514705883
2022-01-04,Grapevine,Retail,13333.23,36.035756756756754,24.509613970588234
2022-01-04,Gurnee,Attractions,11453.58,86.76954545454545,39.631764705882354
2022-01-04,Gurnee,Food and Beverage,17069.94,27.268274760383385,59.065536332179924
